公司,公司行业,经验学历,职位,工资,位置,公司描述,职位描述（大概）,福利（大概）,福利待遇（详细）,职位描述,公司介绍
弥勒品元园艺有限公司,其他行业,5-10年大专,电商运营经理,12-20K,昆明,其他行业天使轮100-499人,"商城运营
数据分析
客户管理
电商团队
电商运营经理",包住，五险一金，股票期权，包吃，全勤奖，年终奖,五险一金全勤奖年终奖股票期权包吃包住,1.负责公司垂直F2B平台的运营管理工作；2.协助总经理制定平台的运营和销售指标，并按月，按日分解，执行落地；3.对日常的运营活动和节庆日的重大营销活动进行策划，制定预算并对预算经营管控；4.管理和运营公司的自媒体资源；5.组建和管理电商团队，执行内部培训；6.对运营数据进行分析，监控。,品元园艺有限公司成立于2006年，自成立之初，公司就明确致力于切花玫瑰栽培方向，公司弥勒基地在2015年开始建设，该基地在总结了以前生产基地及实验经验的前提下，自主研发，形成了一整套公司拥有完全自主、自识产权的工厂化栽培以及水肥、气候自动控制生产体系，并在2016年取得了切花玫瑰全国平方产值最高的成
新东方技工,培训机构,1-3年不限,园艺插花教师兼职,2-3K,哈尔滨,培训机构不需要融资20-99人,"园艺
软件
教育教学经验
职业技能
内容",,,1.工作内容：线上网课教学，学生答疑解困，监督学生的学习情况，课时完成情况。2.任职资格：有相关技术岗位教学经验，会制作网课课件，运用网课软件，职业技能等级证书,我校成立于2001年，是经黑龙江省人社厅正规审批技工院校，全国烘焙杰出贡献单位，劳动部门职业技能鉴定站，团中央青年就业创业见习基地
富景园林,工程施工,1-3年不限,植物园艺师,5-10K,北京·朝阳区,工程施工未融资20-99人,"园艺设计
园林
园艺师
别墅园林
顶级豪宅",,,富景园林专注顶级别墅园林15年，北京顶级豪宅私人园林占有率排第一，有美学功底，了解花径设计，熟悉植物,北京富景园林绿化有限公司成立于2006年，在西安和成都分别设有两家分公司。北京的总公司位于朝阳区孙河镇康营中街9号， 占地面积约20000平，是一家专业从事园林景观设计、施工、养护于一体的全产业链公司。自2006年起，富景园林积极把握园林市场的客户需求，凭着富景园林优秀的设计团队
长沙新航程,贸易/进出口,3-5年中专/中技,兼职园艺师,2-3K,长沙·开福区,贸易/进出口不需要融资20-99人,"施工员
园艺师
花卉植物
别墅
兼职",年终奖，住房补贴，通讯补贴，零食下午茶，五险一金，加班补助，节日福利，全勤奖，定期体检，员工旅游，股票期权，餐补，带薪年假,五险一金定期体检加班补助全勤奖年终奖股票期权带薪年假员工旅游餐补通讯补贴节日福利住房补贴零食下午茶,诚聘兼职别墅园艺师，需了解玫瑰，紫藤，绣球等花卉植物生长特性和培育，懂得园林搭配和设计,长沙新航程工艺品有限公司，成立于2003年，是一家专注于陶瓷出口的外向型企业。十六年来，我们始终坚持规范化管理，严格执行现行劳动和社保制度；始终注重与员工共同成长，为员工提供业务培训及出国展销等机会；始终注重创新经营，成功开拓欧美、日韩等全球各大市场。因公司业务快速发展，现真诚招募各路精英。我们不
五洲设计院,建筑设计,不限不限,花卉园艺师,4-8K,宁波,建筑设计不需要融资20-99人,"绿植养护
植物造景
花卉生产
种植养护
花卉园艺师",五险一金，员工旅游，交通补助，年终奖，住房补贴，零食下午茶，餐补，包吃，通讯补贴,五险一金年终奖员工旅游餐补通讯补贴交通补助包吃住房补贴零食下午茶,岗位职责：1、负责花卉、盆栽植物、观赏苗木等繁育、栽培、养护、应用、生产与管理。2、制定园区花卉种植方案，并组织实施。3、负责园区内花卉植物创意设计、组合及盆栽造型设计；4、对花圃园林土壤进行耕耙、休整、改良，优化种植流程，提高成活率。5、做好园区内花卉景观作物种植的技术把关，保证植物能够在合适的环境生长。6、进行施肥、浇水、除草、上盆、修剪、整形、搭架、盆景制作等作业管理。7、完成上级领导交办的其他事物。任职要求：1、大专及以上学历，花卉园艺相关专业； 2、具备花卉生产、花艺环境设计等基本知识，掌握花卉布局设计、花卉生产及花卉应用与植物造景等技能。3、精通各种花卉的栽培管理技术及习性，具备园林苗木种植养护及病虫害防治方面的专业知识，对花卉栽培有独特见解。,建筑工程 产品设计，各类家居品牌，美学类产品
阿丁电商运营工作室,电子商务,不限大专,淘宝美工园艺类目,4-8K,济南,电子商务未融资20-99人,"店铺首页
店铺美工
无线端首页
活动页面
淘宝美工",加班补助，五险一金，包吃，员工旅游，零食下午茶，年终奖，全勤奖，节日福利,五险一金加班补助全勤奖年终奖员工旅游包吃节日福利零食下午茶,"工作内容：1、负责天猫店铺的设计与装修:包括店铺首页、详情页整体效果及各模块图片的精美化设计,并不断对店铺进行优化改进;2、无线端首页、详情页、活动页面的美化设计;3、负责对主题活动的方案设计，打造个性化视觉风格；职位要求：1、美术、平面设计、广告、视觉传达等相关专业优先录用;2、熟练使用 Photoshop,会使用dreamweaver、 flash等软件的优先录用;3、1年以上美工经验,有天猫店铺美工经验者优先考虑;4、需要对店铺整体视觉升级，能够结合自己店铺产品做出全店风格；5、有自己的设计想法，设计方向；6、线上美工勿扰，谢谢！！工作时间：8：30-18：00",阿丁电商运营工作室是国内首家专业的新零售运营网商企业。主要经营天猫国际店铺，天猫店铺，淘宝店，京东店，拼多多等多平台。 主要经营产品：保健品，商业办公，汽车用品，办公文具，工业机器人，卫浴用品等产品。公司发展势头正盛，各岗位急需专业优秀人才。广阔的发展前景，优于同行业的薪金，完善的福利待遇，无限的个
浙江华腾食品有限公司,食品/饮料/烟酒,1-3年大专,园林园艺师,4-7K,嘉兴,食品/饮料/烟酒不需要融资100-499人,"CAD
园林类
花卉种植
园林园艺
种植经验",五险一金，员工旅游，定期体检，加班补助，节日福利，全勤奖，年终奖,五险一金定期体检加班补助全勤奖年终奖员工旅游节日福利,1.负责花卉种植、设计及养护等工作；2.花卉园林相关专业知识；3.需要部分露天工作；4.有大棚管理经验者优先考虑；5.懂香草种植经验者优先考虑；,浙江华腾公司成立于2007年6月，是一家集畜牧业、种植业、餐饮业、旅游业和原料贸易为一体的多元化企业，下辖浙江华腾牧业有限公司、浙江华腾食品有限公司、浙江华腾环保科技有限公司、浙江华腾石湾农业有限公司、杭州联谊茅坪养殖有限公司、嘉兴嘉华牧业有限公司、安吉安兴牧业有限公司、华腾物流等。近年来，公司通过
花香调信息咨询,电子商务,1-3年本科,园艺淘宝线上客服,4-6K,北京,电子商务未融资0-20人,"电商客服
淘宝后台
园艺专业
淘宝客服
线上客服",全勤奖，五险一金,五险一金全勤奖,1.淘宝店铺竹溪花苑，主营高品质盆栽植物，为客户提供产品的售前，售中，售后服务。2.一年以上淘宝客服经验。3.必须园艺专业，感兴趣，或者会养很多花！这一点不符合不要投递简历。任职要求：1.大专以上学历，电子商务或园艺专业优先。2.有淘宝客服经验，熟悉淘宝后台操作。3.性格好，思维敏捷，灵活应变，有强烈的客户服务意识。4.热爱园艺，对植物非常了解！ 或者非常有愿意了解。如果不是勿扰！5.抗压能力较强。无组织无纪律的人勿扰！,本公司是一家发展迅速的园艺类电商企业。主要经营园艺相关的所有产品。店铺是竹溪花苑。参加了杭州第一届收费性质的花园节。目前公司属于高速发展阶段。需要各方面优秀人才。欢迎热爱园艺，有理想有梦想的小伙伴加入。
辰宇环卫,其他服务业,1-3年大专,绿化园艺师,3-5K,西安·未央区,其他服务业不需要融资20-99人,"小区景观设计
病虫害防治
园艺师
带领团队
绿化资料",补充医疗保险，年终奖，定期体检，加班补助,补充医疗保险定期体检加班补助年终奖,景观设计 造型 病虫害防治 带领团队 绿化资料完善 绿化工程设计方案,""""""
繁茂古树,其他服务业,1-3年大专,园艺师主管,6-10K,苏州,其他服务业未融资100-499人,"客户沟通
汽车
植物养护
C
园艺师",五险一金,五险一金,工作内容：主要从事室内盆栽植物养护1、带队对苏州区域客户摆放的植物进行浇水、修剪、施肥等养护工作，合理安排下属队员工作内容。2、及时观察并记录植物的长势情况，发送养护日志。3、独立负责我公司摆放在客户单位的所有植物健康生长，针对出现问题的植物能够随机应变，作出正确判断。4、主管薪资由基本工资➕业绩提成，年收入8-12万。 任职要求：1、有C1以上驾照，能独立安全驾驶准驾车型汽车。2、园艺或植保专业毕业，或开设有室内盆栽植物课程优先，有相关养护管理经验3、品学兼优，沟通能力佳，有上进心。4、服从公司管理，认同企业文化及发展方向，愿意从基层开始。 发展空间：有晋升项目经理空间，项目经理享受工资+提成+分红（年薪10-20万）。,"繁茂古树名木保护（苏州）有限公司Fanmao Historic Trees Protection (suzhou) co. ,LTD.（江苏园林植物总医院Jiangsu Garden Plant General Hospital）起源于拥有110年校史的苏州农业职业技术学院，医院的大部分股东成员都是"
十环生态,工程施工,3-5年本科,景观园艺设计师,6-7K,武汉·江岸区,工程施工未融资0-20人,"平面设计
结构设计
景观设计
熟练操作cad
SU",餐补，五险一金，节日福利，年终奖，员工旅游，交通补助，零食下午茶，股票期权，通讯补贴，补充医疗保险,五险一金补充医疗保险年终奖股票期权员工旅游餐补通讯补贴交通补助节日福利零食下午茶,岗位职责（如有创业团队，可寻求合作，我们提供免费独立的办公场所）1、根据客户需求，完成相应的景观方案设计；2、落实景观设计工作，控制施工图变更和交付进度；3、负责组织施工图的审核及修改，控制设计效果；4、负责解决再施工过程中的进度、质量和相关技术性问题。任职资格1、大学本科及以上学历，园林、城市规划、艺术设计等专业；2、有三年以上工作经验，设计风格独到创新，持续学习及方案表达能力；3、熟练操作CAD、PS、SU、ID、office等软件；4、工作积极主动，有正能量，强烈的责任感和团队合作精神。,
合肥暖趣电子商务,电子商务,不限大专,园艺师助理,2-4K,合肥,电子商务0-20人,"园艺师
应届毕业生
花艺
园艺
助理",,,1.负责园艺及花艺方面的工作协助2.培养方向，花艺师或园艺师3.可以是应届毕业生,
清尘环保,其他行业,3-5年大专,园艺师,6-8K,新乡,其他行业未融资10000人以上,"病虫害防治
园艺
园艺师
绿植养护
养护管理工作",带薪年假，五险一金，年终奖，餐补，员工旅游，交通补助,五险一金年终奖带薪年假员工旅游餐补交通补助,岗位职责：1、负责绿化区域的养护管理工作；2、按规程对花、草、树木及时进行修剪、整形、清理、施肥、防病治虫等，保持绿化四季处于良好状态，确保花木、绿植的成活率；3、负责对公司绿植养护知识进行讲解传授；4、定时向部门汇报工作情况；5、完成上级领导交办的其它工作。任职要求：1、园林景观相关专业大专以上学历，具有园林、园艺类相关证书优先；2、三年以上绿植养护、园艺等相关工作经验；3、熟悉各种植物、花卉类型、品种特性，熟练掌握植物、花卉栽培和病虫害防治技术；4、热爱园艺事业工作，良好的沟通协调能力和团队合作精神。工作地址：东风路与文化路交叉口，河南财经政法大学文北校区weixinhaoZZQCHB84,郑州清尘集团下辖郑州清尘环保、郑州清尘市政、河南清尘园林、河南安用机械设备等四大事业部，涵盖城市道路清扫保洁、生活垃圾处理、市政照明、道路园林绿化、环卫设备生产销售等具体业务的综合型环保公司，是中原地区唯一一家获省辖市级城市生活垃圾清运作业权的社会化企业，并与世界最先进的环卫设备生产商&md
牛鱼嘴风景区,旅游,3-5年大专,园艺管理,4-5K,清远,旅游不需要融资20-99人,"设计咨询
物业维修
苗木种植
园艺
绿化工程",通讯补贴，免费班车，加班补助，全勤奖，补充医疗保险，员工旅游，包社保,补充医疗保险加班补助全勤奖员工旅游免费班车通讯补贴包社保,1、指导、监督绿化工程的具体实施；2、负责景区绿化工程的现场管理、施工进度的把控；3、合理安排景区植物、苗木种植养护工作。,单 位 简 介 一、单位情况清远市牛鱼嘴生态旅游发展有限公司成立于2004年2月，位于清远市清城区东城街办江埗村，注册资本1139万元人民币，现有员工50多人。二、主营业务公司以经营旅游业为主，目前主要开发经营牛鱼嘴原始生态风景区。近年来，公司通过走“旅游+文化+创意&rdqu
石狮市春满园花卉...,其他服务业,3-5年中专/中技,园艺师,5-6K·13薪,泉州,其他服务业不需要融资20-99人,"庭院设计
景观施工
园艺师
管理",,,面谈,本公司目前属于石狮市园林行业的领头事业单位，是一家专业从事别墅庭院花园设计和办公室居家会所绿植布置和摆设。
梦塔莎商贸,生活服务,1-3年大专,园艺师,3-4K,合肥,生活服务不需要融资0-20人,"植物养护
园艺师
绿植养护
施工能力
设计",餐补，年终奖，零食下午茶，节日福利，加班补助，交通补助，通讯补贴，员工旅游,加班补助年终奖员工旅游餐补通讯补贴交通补助节日福利零食下午茶,职位要求：园林专业毕业，吃苦耐劳，热爱园林植物事业，懂得如何养护、种植，能把工作当作事业来做。工作内容：1、做好店内日常植物养护、种植、清洁保养管理。2、客户单位的租赁植物的养护和巡查3、周期性绿植养护，防病虫等4、有庭院的设计、施工能力,DREAM TASHA梦美花屋鲜花礼品、花艺培训、婚礼花艺、宴会设计、派对布置
纳枷奇园林绿化,其他行业,不限不限,园艺师,3-4K,厦门·集美区,其他行业不需要融资0-20人,"手绘
CAD
植物养护
园艺师
设计",住房补贴，五险一金,五险一金住房补贴,1.景观设计2.淘宝详情页设计3.植物养护4.吃苦5.喜欢植物,雨淋景观，美式花园景观设计施工。特殊植物的销售和生产
甲第园艺,装修装饰,1-3年大专,新媒体运营,4-6K,南京,装修装饰不需要融资20-99人,"短视频运营
运营专员
抖音短视频
百家号
新媒体工作",五险一金，员工旅游，节日福利，年终奖，餐补，带薪年假，全勤奖，零食下午茶,五险一金全勤奖年终奖带薪年假员工旅游餐补节日福利零食下午茶,工作内容1、新媒体（抖音短视频、微信公众号、小红书、微博等）日常内容的选题、素材搜集、编辑、发布和推广；2、通过有效的运营手段提升活跃度和粉丝数量，达到品牌宣传，提升品牌力；3、跟踪推广效果、数据分析并反馈，总结经验，建立有效运营手段提升用户活跃度，增加粉丝数量，并建立维护粉丝社交群；任职要求：1、1年以上新媒体工作经验，大专及以上学历；2、有一定的文字功底，能独立原创，能独立策划和撰写活动推广文案；3、熟悉微信公众号、抖音短视频、微博、百家号、今日头条、小红书等媒介的应用知识、技巧和推广机制；公司待遇：1.周末单双休轮休，法定假日正常放假。2.试用期三个月，一金。3.每月有全勤奖，加班有餐补，有考核绩效奖金。4.公司有不定期外出活动聚餐。,甲第设计是一家专业从事精品景观设计的团队，主要以高端庭院，民宿，酒店景观为主。依托多年经验发展，项目遍及全国各地，欢迎更多新的伙伴加入，共创前景。
天力物业,物业服务,5-10年大专,园艺师,5-6K,重庆·沙坪坝区,物业服务不需要融资1000-9999人,"绿化工
城市规划设计师
物业服务
植物习性
景观施工",带薪年假，节日福利，员工旅游，年终奖，五险一金，餐补,五险一金年终奖带薪年假员工旅游餐补节日福利,造型修剪、亮点造景方向岗位描述：1、负责城市公司所管辖项目的植物修剪、定型、造型效果、亮点景观打造；2、负责对城市的植物修剪、定型、造型知识、亮点景观进行讲解传授，指导、带领项目同事做好项目的造型修剪、亮点景观打造工作；任职要求：1、熟悉入职区域、城市的植物习性；2、精通植物的修剪、定型、造型搭配、组合造景、细节处理、种植手法；3、年龄45岁以下，身体健康，品行端正，能吃苦耐劳，责任心强；4、大专学历，专业不限，园林景观等相关专业优先考虑；5、6年以上现场景观施工种植管理经验；职位级别：主管级,"一、富力地产集团简介富力地产集团自1994年创立以来，立足广州，布局全球，是中国综合实力最强的房地产企业之一。富力地产作为多元化发展集团，核心业务覆盖地产经营全链条，还拓展至酒店、物流、互联网、电商贸易、医疗、足球等领域。截至2018年6月，富力拥有权益土地储备约5,700万平方米。2018"
建国生态园,旅游,不限不限,园艺师,10-15K,茂名,旅游100-499人,"园林
园艺
园艺师
养护管理
沟通协调",,,岗位职责：1.管理、维护景区绿化，负责花卉、草坪、苗木、树木的种植以及日常养护管理；2.维护、管养管理景区花木健康，负责景区室内外植物花木的日常修剪，及时治理病虫害，确保花木、绿植的存活率；3.参与园艺景观方案设计，对设计方案中的植物搭配提出合理化建议，并审核现场设计变更以及实施效果的监控。4.为景区相关人员提供关于绿植、盆栽养护知识的咨询及培训指导工作；5.领导交代的其他工作。任职要求：1.具有园艺师资格证；2.有较强的视觉搭配能力，良好的审美观；3.热爱园艺事业及设计工作，良好的沟通协调能力及团队合作精神。,
国创策划有限公司,其他行业,1-3年高中,园艺师,3-5K,北京·大兴区,其他行业20-99人,"园林
园艺
植物养护
园林花卉
园艺师",,,"岗位职责：1、热爱养殖、吃苦耐劳、有进取心、责任感强。服从安排,执行能力强。 2、负责红豆杉苗木质检、盆栽生产、日常养护。3、负责绿植生长过程中的病害防治。4、定期向领导汇报绿植的情况。任职要求：1、年龄20-50岁。2年以上花卉种植工作经验；2、植物保护、园林绿化、林学、农学、园林花卉种植相关专业，高中以上学历，（实际操作能力强的可放宽要求），有一定的理论基础；3、具有较深厚的种植技术，有园艺师资格证书者优先；4、熟悉盆栽种植等相关技术知识；5、公司包食宿。",
梁贲实业,生活服务,1年以内高中,园艺师,3-6K,上海·青浦区,生活服务20-99人,"花卉养护
园艺
园艺师
会开车
可兼职",,,花卉养护盆景、造型树修剪热爱园艺年龄不限可兼职,
现代农业装备研究所,政府/公共事业,不限硕士,园艺工程师,7-8K,广州·天河区,政府/公共事业100-499人,"数据分析
农业
园艺
植物生理
数据整理分析",,,"1.	负责设施园艺栽培，开展植物表型、植物代谢、植物生理生态方面实验，以及数据整理分析。2.	熟悉叶绿素荧光成像和红外热像相关仪器设备优先。3.	设施农业、园艺、植物生理生态等相关专业。",
虹越花卉,生活服务,不限大专,园林，园艺设计师,4-5K,台州,生活服务500-999人,"景观小品
园艺设计
花园设计
园艺",,,庭院花园设计，绿色空间营造，热爱园艺吃苦耐劳,
璞郁舍,其他行业,1-3年大专,园艺公司办公室职员,3-4K,苏州,其他行业0-20人,"3D设计
制作报价
图纸设计
园艺
能独立",,,能独立完成图纸设计。改动。 根据领导要求制作报价表之类工作,
汉桥园林文化,其他专业服务,不限不限,盆景园艺师学徒两个年龄在25岁以下,15-16K,苏州·昆山市,其他专业服务已上市20-99人,"景观园林工程
园艺师
日本学习",五险一金,五险一金,主要制作高档柏树舍利雕刻水线造型等等，本园有上万柯大型柏树等上万柯松和各种树材，目前是中国最大盆景园之一。学徒头三个月试用期工资2000－3000过了试用期将转入正式内门学徒在过了三个月将会有机会去日本学习,中国汉桥园林是目前中国最大，园林这里有最专业盆景老师和团队，我们盆景现在要向世界联盟。盆景，中国优秀传统艺术之一，是以植物和山石为基本材料在盆内表现自然景观的艺术品。它以植物、山石、土、水等为材料，经过艺术创作和园艺栽培，在盆中典型、集中地塑造大自然的优美景色，达到缩地成寸、小中见大的艺术效果，
大象思维,互联网,不限大专,园艺新媒体编辑,2-4K,成都,互联网未融资0-20人,"撰稿
新媒体运营
园艺
新媒体编辑
抖音短视频",股票期权，节日福利，零食下午茶，五险一金,五险一金股票期权节日福利零食下午茶,此职位的主要工作是为公司的抖音短视频IP撰写短视频拍摄内容的文案。我们的抖音IP叫做：迅哥的百草园你可以先打开抖音，找到我们的IP账号，看看我们的短视频内容和风格目前是园艺类的达人，主要拍摄花卉植物的推荐、百科知识、养花知识希望是通过轻松愉快的短视频内容为用户提供买花、养花的建议和技巧知识注意工作地点：在成华区东郊记忆具体的工作要求：1.具有创意、能高效的撰写花卉类具有爆点的短视频文案2.善于学习吸收园艺领域的知识3.为人亲切，表达大方得体，能够无障碍沟通4.适应互联网快节奏，高强度工作要求，能承受一定的工作压力5.执行力强，服从公司工作安排，言必行，行必果我们比较看重兴趣和学习能力，如果你没有园艺知识，但是你非常有兴趣，能在团队的帮助下自我快速学习，也是很棒的关于工资：正式员工的试用期为1-3个月；作品数据表现优异课提前转正；试用期工资是转正后正式工资的80%；岗位职责：1、负责花卉短视频账号的文案内容撰写；2、负责整理IP的园艺知识、小技巧、种草内容撰写；3、负责与专家、园艺爱好者互动，提供内容解决方案岗位要求：1、热爱园艺，愿意长期坚持，有园艺知识以及种植养护经验2、有一定文字功底；3、园艺、农学等相关专业优先,公司主要目标：孵化以抖音为主，B站西瓜为辅的短视频IP和达人主播团队我们主要的领域涉及：美妆/美食/快消/生活日用/数码消费电子/汽车/园艺/葡萄酒相关账号，正在孵化ing...希望各位愿意打拼的青年的加盟
我爱它它,电子商务,不限不限,宠物公园园艺师,3-4K,太原,电子商务不需要融资20-99人,"绿化工
园艺
草坪
园艺师
养护工作",,,"养护花卉岗位职责：1、主要负责草坪、苗木的验收、栽植及日常养护工作；换季花草的选种和规划设计；2、身体健康、具有园林、园艺、物业园艺苗圃业从业经验，维护与清洁绿化、苗圃、园艺、抗旱排涝、卫生、除四害管理等相关的工作。3、懂种植和栽培知识，服从和遵守餐公司制定的工作标准和卫生标准，能够独立工作4、负责所在项目绿化、保洁现场督导检查及专业技术支持，任职要求：1、35岁以下,全日制大专及以上学历,园林等相关专业;2、具备1年以上环境管理经验；3、具备较强沟通协调能力，具备一定创新思维，吃苦耐劳，责任心强。福利待遇：1、丰厚的薪资组成：底薪+节日福利+全勤奖+其他额外奖金+社保等。2、员工均可享受国家规定的各种法定假期；按照劳动法相关规定婚假、陪产假、产假等带薪假期。3、能力培训：阶段性专业技能培训，表现优秀者可获丰厚奖励；4、良好的晋升机会：内部转职（横向发展）和纵向提升；有实力，可以申请领导带领团队；5、公司所在为山西唯一宠物乐园，将成为知名网红摄影打卡地，园区内自有生态园，绝佳的优良、舒适办公环境。",基于山西区域的宠物app，面向全国服务
晴昊花园,工程施工,不限本科,园艺师花艺师,4-9K,深圳·南山区,工程施工不需要融资0-20人,"手绘
微景观
园艺
园艺师
动手能力强",,,热爱园艺造景，对花园微景观有深刻认知，动手能力强，善于沟通，温和大度；可共同创，把兴趣爱好干成终身事业。,深圳市晴昊建筑遮阳工程有限公司旗下品牌（晴朗花园）：是一家专业从事室内外遮阳产品设计、生产、销售、售后、维护于一体的实业公司，专业为现代建筑门窗及遮阳配套做个性化设计，为地产、私家别墅、学校、幼儿园、商业、酒吧、咖啡馆、办公楼等提供阳光房、门窗、室内外遮阳、外遮阳天幕、遮阳蓬、雨篷、天棚
上海喆卉,建筑设计,3-5年不限,花园设计，庭院设计，园艺设计,7-12K,上海·松江区,建筑设计不需要融资0-20人,"庭院设计
花园设计
主案设计师
手绘
CAD",员工旅游，住房补贴，包吃，餐补，交通补助，带薪年假，年终奖,年终奖带薪年假员工旅游餐补交通补助包吃住房补贴,任职责任：底薪+业绩提成+年底分红1：组织落实景观工程设计，控制图纸及变更的交付进度，深度及合理性2：编制，审查景观工程计划，制定设计标准，完善景观设计，控制景观实施效果3：主管景观方案，施工图4：独自绘制庭院方案5：控制方案进展节奏6：独自整理方案预估算7：组织落实庭院景观方案的设计工作及深化工作8：预约业主，上门测量花园面积任职资格：1：熟悉基本施工材料和施工工艺，了解价格体系；2：2年以上庭院景观设计工作经验，有较强的方案设计能力；（特别优秀者不受年限限制）3：能熟练使用cad、ps、3d、su、lu等软件，手绘能力强4：熟悉各类庭院常用乔木、花灌木，果树的习性和植物特点5. 了解市面上出售的各类花境植物，精通花境植物搭配，层次丰富，富有变化6：把控庭院景观项目的实施效果7：较好的沟通协调能力、积极主动、具备团队合作精神、高度的责任心，敬业精神，拥有崇高的集体荣誉感，有团队管理经验者优先,上海喆卉是8年专业从事高档别墅、豪宅庭院花园景观设计和施工以及养护一体化公司，以独有的设计理念、以规范的管理、精湛的施工技术为基础，从项目洽谈.设计方案确定到后期的配套施工以及后续的标准养护服务。实行定期回访等一站式服务。倾心为您打造属于您全家的主题乐园。到目前已有1936家高端别墅花园业主选择我们
枣庄市千花坊园艺...,新零售,1年以内不限,平面设计师(兼职),50-55K,枣庄,新零售天使轮20-99人,"品牌设计
电商美工
销售人员
花艺师讲师
花艺师助理",补充医疗保险，包吃，全勤奖，加班补助，员工旅游，定期体检，五险一金，年终奖，节日福利，通讯补贴，带薪年假，股票期权,五险一金补充医疗保险定期体检加班补助全勤奖年终奖股票期权带薪年假员工旅游通讯补贴包吃节日福利,本公司需要花艺师，花艺师讲师，花艺师助理，及鲜花销售人员,枣庄市千花坊园艺有限公司是一家集鲜花批发零售 花艺培训 花店连锁加盟为一体的企业.因发展需要 公司现需要大量花艺师 花艺讲师 花艺师学徒及营销设计策划人员等.
塔莎电商,电子商务,不限大专,淘宝直播（园艺方向）,7-12K,嘉兴,电子商务未融资20-99人,"活动促销
解答疑问
淘宝直播
园艺
运营部门",零食下午茶，节日福利，五险一金，股票期权，晋升制度，带薪年假，员工旅游，年终奖,五险一金年终奖股票期权带薪年假员工旅游节日福利零食下午茶晋升制度,1、希望你自信的直面镜头，用专业和热情的讲述园艺知识、演示园艺养护、活动促销以带动产品销售，给花友优质购物体验。2、还希望专业的你，解决直播间粉丝的个性化问题，并可以用自己的风格跟粉丝交流经验，解答疑问，还能调动直播间火热的风味，留住粉丝，增加粘性。3、期待你可以再工作者跟运营部门顺畅的对接沟通工作，跟淘宝等平台做好活动的配合，提升直播和活动效果跟团队一起完成更好的销售额。岗位要求：1、我们需要热爱园艺，自信活泼，无惧镜头的你！2、我们需要园艺专业毕业，能了解10种以上常见的家庭花卉养护的你。3、工作过程中需要你可以很好的跟各部门沟通，耐心仔细的解决直播间的各种问题和疑问，可以让销售在你的演绎中顺利成章。当然，如果你有比较好的基础，但是当下还缺些实操经验，我们有培训教你。,我们相信，生活，除了活着，还需要一些阳光和芬芳。于是，我们开始传播园艺。我们是一群热爱园艺的年轻人，在塔莎先生的带领下，传播园艺知识，带给花友更多更好的园艺产品。我们团队平均年龄26岁，朝气、简单、无畏是我们的代名词；我们一起建造属于我们的花园、基地，耐心与爱是我们对植物和生活的态度；我们
延边汇升,旅游,1-3年高中,园艺师/农艺师,4-6K,延边,旅游不需要融资100-499人,"花卉养护
病虫害防治
绿化工作
园艺师
农艺师",,,1.掌握公司景区绿化地面积和布局，花草树木的品种和数量；2.根据公司规定，对景区内部的绿化工作实施管理，制止损坏植被行为的发生；3.对绿植进行浇水、施肥、修剪、擦叶、清洁、病虫害防治等工作；4.熟悉花草树木的名称，种植季节，生长特性，培养培植管理的方法；5.保持好绿化场地的清洁，做到无杂物、不缺水、不死苗、花木茂盛。任职要求：1.30-50岁；2.熟悉认知常规绿植，掌握基本的养护技巧；3.体格健康，具有良好的责任心和事业心；4.需熟悉剪枝、机械设备的使用，懂得药剂。,
深圳市星河智善科...,通信/网络设备,1-3年大专,园艺景观设计师,4-8K,深圳·福田区,通信/网络设备不需要融资100-499人,"园艺设计
手绘
环艺
园林行业
园艺",定期体检，员工旅游，节日福利，带薪年假，年终奖，五险一金，通讯补贴，零食下午茶，餐补,五险一金定期体检年终奖带薪年假员工旅游餐补通讯补贴节日福利零食下午茶,1. 根据不同项目定位及需求进行风格定位及设计;2.合理搭配不同风格的整体园艺设计及绿植、花艺选型; 3.对现场养护人员进行园艺、花艺养护培训;4. 职务资料归总整理，并每期设计完工进行工作汇总报告;任职条件 1、 精通计算机制图，能手工绘制花艺、园艺设计图纸;熟练掌握办公软件(优先)懂得计算成本报价，懂得做策划; 2、有园林行业设计经验优先; 3、有较好的沟通协调能力; 4、园林设计、室内设计、环艺、美术相关专业大专及以上学历;,深圳市星河智善科技有限公司，国内领先的高科技综合服务商，公司创立于2016年，是星河控股集团全资子公司，公司是一家致力为客户提供建筑智能化系统设计与施工，安全防范系统工程设计与施工维护，机电工程安装与运维，建筑装饰及钢结构工程于一体综合工程服务。​星河智善科技公司秉承“星河精品、至诚服务
广阔园艺,工程施工,5-10年本科,设计总监,20-40K,济南·市中区,工程施工20-99人,"装饰装修
CAD
景观园林工程
住宅地产
设计总监",,,负责设计部全面管理及技术指导工作负责高端客户的设计工作负责项目的阶段把控和跟踪负责协调其他部门配合工作,
